name,surname,status,email,phone
Ivan,Ivanov,online,ivanov@email.ru,71234567878.0
Petr,Ivanov,online,ivanov2@email.ru,77893214565.0
Ivan,Petrov,offline,petrov@email.ru,79876541232.0
Igor,Petrov,online,petrov2@email.ru,74563212789.0
Oleg,Ivanov,online,ivanov3@email.ru,76845678978.0
Ivan,Alexeev,offline,alexeev@email.ru,77893614568.0
Alexey,Ivanov,online,ivanov4@email.ru,79634587189.0
Petr,Alexeev,offline,alexeev2@email.ru,79635486286.0
Roman,,online,holzman@email.ru,
Nikolay,,offline,romanov2@email.ru,
Vasiliy,,online,romanov@email.ru,
Nikolay,,offline,romanov2@email.ru,
Roman,,online,holzman@email.ru,
Grigory,,offline,ivanov6@email.ru,
Vasiliy,,online,kuznetsov2@email.ru,
Roman,,online,holzman@email.ru,
Ivan,,online,kuznetsov@email.ru,
Ioann,,offline,ivanov7@email.ru,
Roman,Holzman,online,holzman@email.ru,79745681358
Vasiliy,Kuznetsov,online,kuznetsov2@email.ru,73654856324
Roman,Holzman,online,holzman@email.ru,79745681358
Nikolay,Romanov,offline,romanov2@email.ru,76548324596
Vasiliy,Romanov,online,romanov@email.ru,74586243584
Roman,Holzman,online,holzman@email.ru,79745681358
Vasiliy,Romanov,online,romanov@email.ru,74586243584
